BOR;AN;FI;FI_EJ;LIT_MED;JLI_MED;SEJHC_MED;SEJ0_MED;JOU_MED;LIT_CHI;JLI_CHI;SEJHC_CHI;SEJ0_CHI;JOU_CHI;LIT_OBS;JLI_OBS;SEJHC_OBS;SEJ0_OBS;JOU_OBS;LIT_MCO;JLI_MCO;SEJHC_MCO;SEJ0_MCO;JOU_MCO;PLA_MED;SEJHP_MED;PLAN_MED;SEJN_MED;SEA_MED;PLA_CHI;SEJHP_CHI;PLA_OBS;SEJHP_OBS;PLAN_OBS;SEJN_OBS;PLA_MCO;SEJHP_MCO;PLAN_MCO;SEJN_MCO;SEA_MCO;PCAR;PDER;PEND;PGAS;PNEU;PPED;PPNE;PRHU;POPH;DEND;DNEU;DPED;DOPH;ACTCLI_PM;ACTCLI_SAG;ACTTEC_PM;ACTTEC_DEN;ACTTEC_SAG;ACTTEC_PNM
MCO;2017;670002187;670000652;;;0;0;0;;;0;0;0;;;0;0;0;;;0;0;0;;0;;;30231;;0;;0;;;;0;;;30231;0;0;0;0;0;0;0;0;0;;;;;;;;;;
MCO;2017;670009109;670780055;4;1460;55;1;1032;42;15330;2397;482;12765;;;0;0;0;46;16790;2452;483;13797;;0;;;24;9;3574;;0;;;9;3574;;;24;0;0;0;0;0;0;0;0;0;;;;;29147;;18182;;;1313
MCO;2017;670013325;670013317;;;0;0;0;;;0;0;0;;;0;0;0;;;0;0;0;3;3757;;;222;;0;;0;;;3;3757;;;222;;;;;;;;;;;;;;;;;;;
MCO;2017;670013341;670013333;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;1870;0;0;73;0;0;0;0;;;2;1870;0;0;73;0;0;0;1;0;0;0;0;0;;;;;0;0;0;;0;
MCO;2017;670013895;670000652;;;0;0;0;;;0;0;0;;;0;0;0;;;0;0;0;;0;;;4183;;0;;0;;;;0;;;4183;0;0;0;0;0;0;0;0;0;;;;;;;;;;
MCO;2017;670014042;670013754;;;0;0;0;;;0;0;0;;;0;0;0;;;0;0;0;4;538;;;0;;0;;0;;;4;538;;;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;
MCO;2017;670014455;670000652;;;0;0;0;;;0;0;0;;;0;0;0;;;0;0;0;;0;;;1618;;0;;0;;;;0;;;1618;;;;;;;;;;;;;;;;;;;
MCO;2017;670017458;670017441;30;10950;984;4;7011;0;0;0;0;0;0;0;0;0;0;30;10950;984;4;7011;6;881;0;0;1282;0;0;0;0;0;0;6;881;0;0;1282;0;0;0;0;0;0;0;0;0;;;;;1525;0;189;0;0;0
MCO;2017;670018068;670017847;23;8395;3518;1110;8619;150;54750;11154;2160;32722;24;8760;1032;47;3677;197;71905;15704;3317;45018;17;11081;0;0;0;47;19084;0;46;0;0;64;30211;0;0;0;;;;;;;;;;;;;;;;;;;
MCO;2017;670780113;670780055;6;2190;259;5;2012;1;365;112;4;315;54;19710;6634;1910;16395;61;22265;7005;1919;18722;;0;;;73;;0;15;1713;;;15;1713;;;73;0;0;0;0;0;0;0;0;0;;;;;18199;10528;25890;;8325;4850
