BOR;AN;FI;FI_EJ;LIT_MED;JLI_MED;SEJHC_MED;SEJ0_MED;JOU_MED;LIT_CHI;JLI_CHI;SEJHC_CHI;SEJ0_CHI;JOU_CHI;LIT_OBS;JLI_OBS;SEJHC_OBS;SEJ0_OBS;JOU_OBS;LIT_MCO;JLI_MCO;SEJHC_MCO;SEJ0_MCO;JOU_MCO;PLA_MED;SEJHP_MED;PLAN_MED;SEJN_MED;SEA_MED;PLA_CHI;SEJHP_CHI;PLA_OBS;SEJHP_OBS;PLAN_OBS;SEJN_OBS;PLA_MCO;SEJHP_MCO;PLAN_MCO;SEJN_MCO;SEA_MCO;PCAR;PDER;PEND;PGAS;PNEU;PPED;PPNE;PRHU;POPH;DEND;DNEU;DPED;DOPH;PCON;PACT;PDEN
MCO;2014;810000513;810000349;28;10220;747;6;7473;;;0;0;0;;;0;0;0;28;10220;747;6;7473;;0;;;0;;0;;0;;;;0;;;0;0;0;0;0;0;0;0;0;0;;;;;27;7;
MCO;2014;810000521;810000380;214;75654;10980;1400;63529;110;30131;4475;168;23017;30;10950;2137;485;7923;354;116735;17592;2053;94469;10;0;;;5098;15;2365;;0;;;25;2365;;;5098;1;1;1;1;1;1;1;1;1;77;55;44;110;57753;45087;1392
MCO;2014;810000539;810000398;18;6570;350;55;4741;;;0;0;0;;;0;0;0;18;6570;350;55;4741;0;0;;;0;;0;;0;;;0;0;;;0;0;0;0;0;0;0;0;0;0;;;;;;;
MCO;2014;810000562;810000455;42;15330;2526;364;12478;;;0;0;0;16;5840;994;209;3066;58;21170;3520;573;15544;2;138;;;93;5;754;;0;;;7;892;;;93;1;1;1;1;1;1;1;1;1;;20;7;45;26258;15599;364
MCO;2014;810101170;810101162;0;0;224;3;1722;106;37960;4848;214;18142;0;0;0;0;0;106;37960;5072;217;19864;0;0;0;0;459;15;6115;0;0;0;;15;6115;0;0;459;0;0;0;0;0;0;0;0;0;;;;;;;
MCO;2014;810101444;810000992;42;13140;2089;77;11027;107;31755;10407;6575;15098;;;0;0;0;149;44895;12496;6652;26125;0;0;;;204;0;0;;0;;;0;0;;;204;0;0;0;0;0;0;0;0;0;;;;;;;
MCO;2014;820000032;820000016;208;73884;11256;1896;56585;50;18250;2350;153;11977;25;9124;1327;117;5367;283;101258;14933;2166;73929;10;622;;;3333;8;2057;0;130;;;18;2809;;;3333;1;1;1;1;1;1;1;1;1;63;48;41;65;81054;7322;1070
MCO;2014;820000040;820000081;16;5840;1832;341;7261;51;18615;2787;184;9357;15;5475;1346;457;4177;82;29930;5965;982;20795;5;2358;;;0;11;2146;1;285;;;17;4789;;;0;;;;;;;;;;;;;;;;
MCO;2014;820000057;820000131;122;44530;7066;229;37406;86;31390;5234;64;24145;20;7300;1194;218;3949;228;83220;13494;511;65500;21;3669;;;22477;20;3787;;0;;;41;7456;;;22477;;;;;;;;;;;;;;;;
MCO;2014;820000065;820000156;;;0;0;0;33;12045;2042;23;4374;;;0;0;0;33;12045;2042;23;4374;;0;;;0;3;4656;;0;;;3;4656;;;0;;;;;;;;;;;;;;;;
MCO;2014;820000883;820004950;42;15330;2253;362;13013;34;12410;1147;152;5271;;;0;0;0;76;27740;3400;514;18284;1;257;;;53;1;673;;0;;;2;930;;;53;1;1;1;1;1;1;1;1;1;;;;;19576;21491;34
MCO;2014;830000279;830100517;67;24455;5025;778;21688;38;13870;2211;91;10083;19;6935;1172;228;3582;124;45260;8408;1097;35353;6;1310;;;759;8;1087;;0;;;14;2397;;;759;1;1;0;0;0;1;1;1;0;;;;;;;
MCO;2014;830000287;830100525;158;55827;8373;677;45287;46;15387;2362;77;12208;27;9108;1726;79;6134;231;80322;12461;833;63629;19;1065;1;79;5581;8;1399;4;1064;0;0;31;3528;1;79;5581;1;0;0;1;1;1;1;0;1;;124;66;0;63617;25348;3216
MCO;2014;830000295;830100533;165;58375;9575;1695;53901;40;16118;2491;113;12668;20;7300;1344;63;5263;225;81793;13410;1871;71832;2;91;0;0;1012;11;1413;;0;;;13;1504;0;0;1012;1;1;1;1;0;1;1;1;1;60;;60;50;57836;32694;464
