BOR;AN;FI;FI_EJ;LIT_MED;JLI_MED;SEJHC_MED;SEJ0_MED;JOU_MED;LIT_CHI;JLI_CHI;SEJHC_CHI;SEJ0_CHI;JOU_CHI;LIT_OBS;JLI_OBS;SEJHC_OBS;SEJ0_OBS;JOU_OBS;LIT_MCO;JLI_MCO;SEJHC_MCO;SEJ0_MCO;JOU_MCO;PLA_MED;SEJHP_MED;PLAN_MED;SEJN_MED;SEA_MED;PLA_CHI;SEJHP_CHI;PLA_OBS;SEJHP_OBS;PLAN_OBS;SEJN_OBS;PLA_MCO;SEJHP_MCO;PLAN_MCO;SEJN_MCO;SEA_MCO;PCAR;PDER;PEND;PGAS;PNEU;PPED;PPNE;PRHU;POPH;DEND;DNEU;DPED;DOPH;PCON;PDEN;PACT
MCO;2015;910813732;750813321;;;0;0;0;;;0;0;0;;;0;0;0;;;0;0;0;;0;;;10074;;0;;0;;;;0;;;10074;;;;;;;;;;;;;;;;
MCO;2015;920000460;750813321;48;17520;2096;14;13577;24;8760;1917;28;5415;;;0;0;0;72;26280;4013;42;18992;25;562;;;56169;8;2133;;0;;;33;2695;;;56169;0;1;1;1;1;0;1;0;0;;;;;42368;;25903
MCO;2015;920000569;920026374;48;14667;1368;10;12936;;;0;0;0;;;0;0;0;48;14667;1368;10;12936;5;344;;;0;;0;;0;;;5;344;;;0;1;1;1;1;0;0;0;1;0;;;;;15806;636;18
MCO;2015;920000577;920110020;130;38829;4453;260;33131;27;9540;1727;108;6708;24;8760;1492;98;5527;181;57129;7672;466;45366;5;840;;;343;10;2124;;0;;;15;2964;;;343;1;1;1;1;0;0;1;1;1;;;;;92384;8819;124695
MCO;2015;920000585;920026374;90;31559;6084;574;26214;16;5840;1198;264;3994;42;15330;3175;388;11216;148;52729;10457;1226;41424;1;363;;;0;6;907;1;65;;;8;1335;;;0;1;0;1;1;1;;1;0;0;;;;;71698;0;74044
MCO;2015;920000593;920026374;12;4380;258;7;3161;;;0;0;0;;;0;0;0;12;4380;258;7;3161;;0;;;0;;0;;0;;;;0;;;0;;;;;;;;;;;;;;;;
MCO;2015;920000601;920110053;18;6549;1545;12;15629;;;0;0;0;;;0;0;0;18;6549;1545;12;15629;;0;;;0;;0;;0;;;;0;;;0;1;1;1;1;1;0;0;0;0;;;;;3666;0;32
MCO;2015;920000619;920009909;47;11680;3300;800;12953;20;7300;1025;40;3749;52;17564;6043;313;21949;119;36544;10368;1153;38651;1;57;;;8658;4;689;10;1252;;;15;1998;;;8658;1;1;1;1;0;0;0;1;1;30;;;;58545;3187;15956
MCO;2015;920000627;920009909;81;25072;2667;17;22731;;;0;0;0;0;1888;542;32;2040;81;26960;3209;49;24771;15;2006;;;1;;0;0;215;;;15;2221;;;1;1;0;1;0;0;0;0;1;0;30;;;;5842;;569
MCO;2015;920000635;920150026;40;14600;1539;31;13539;0;;0;0;0;0;;0;0;0;40;14600;1539;31;13539;0;0;0;0;8;0;0;0;0;;;0;0;0;0;8;1;1;1;1;1;1;1;1;1;103;92;27;79;1255196;0;51402
